timestamp_ms,interval_duration_ms,workload,suite,run_id,threads,cpu_or_core_id,phase_label,norm__instructions_retired_per_ms,norm__cycles_per_ms,norm__branch_instructions_per_ki,norm__branch_mispredictions_per_ki,norm__l1d_loads_per_ki,norm__l1d_stores_per_ki,norm__llc_references_per_ki,norm__llc_misses_per_ki,norm__offcore_demand_data_reads_per_ki,norm__resource_stalls_per_ki
10.076323,10.232161000000005,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,2126687.2169036423,1278526.598633465,191.89768887870127,3.0046497785953203,167.48306549918692,110.62922604269384,1.6628213387072033,0.5837153616034406,0.8467595066056524,34.327444741198846
20.338573,10.26225,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,324433.53065848135,488144.8025530464,221.57506206790495,10.955668528253286,257.92105407011076,116.67624792080777,9.110901665095822,4.710733227248727,4.597199870968439,172.91881043473663
30.580775000000003,10.242202000000002,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,274221.89095665165,496684.0138478033,209.9164861519969,13.226705062528573,263.27441505414015,110.16201458643982,13.599127832869764,6.036382073006256,4.965399574740195,194.62828219819158
40.791235,10.210459999999998,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,238061.1647271524,433917.27698850015,220.55371384704247,13.619455024326186,277.9858099307446,115.98032512257716,15.00053070826103,7.2501330884670105,5.974787654985326,264.6033223159944
51.016593,10.225358,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,215088.9973730015,397226.97239548975,222.27173152941626,11.349200359013205,234.6998811473509,111.00446402183906,13.412980673486219,6.0431161400442495,5.32745405258434,196.99712916745858
61.250575000000005,10.233982000000005,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,286701.110085986,561092.4467133123,215.89219704617508,9.602964322206446,303.6801138613828,98.80051559356994,13.81380419304903,6.29427687047518,5.514138265508876,212.71438474704627
71.476438,10.225862999999997,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,264777.8480896919,482903.9857076123,217.3079153281415,11.132442156876504,234.3840371224214,111.45775086405509,14.371863899228169,6.0456156083176795,5.75384235823698,199.8521189755287
81.708599,10.232161000000005,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,252693.6392029014,470711.6121413646,215.98258355307584,12.676351580792403,266.87788762539634,109.41823219505555,12.14649431737754,5.462557655818645,5.408798415223997,218.07842042201392
91.950329,10.24172999999999,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,289183.85858639143,511833.840571857,216.7716780287824,12.331252238968743,263.27470006681875,111.57922885273976,11.755240073159623,6.662293115911813,4.206982172322176,164.05035818435292
102.171941,10.221612000000007,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,246551.13107404177,475271.21945149126,232.0302362954586,13.346030990218836,276.6382953395631,114.0130547784854,15.03402575243537,6.740471797313652,5.657202944269191,243.694224550126
