timestamp_ms,interval_duration_ms,workload,suite,run_id,threads,cpu_or_core_id,phase_label,metric__cpi,metric__ipc,metric__branch_mpki,metric__branch_per_ki,metric__l2_mpki,metric__llc_mpki,metric__offcore_read_mpki,metric__fp_per_ki
10.076323,10.232161000000005,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,0.6011822464870693,1.663389106786454,3.0046497785953203,191.89768887870127,,0.5837153616034406,0.8467595066056524,
20.338573,10.26225,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,1.5046065108075946,0.6646255966706218,10.955668528253286,221.57506206790495,,4.710733227248727,4.597199870968439,
30.580775000000003,10.242202000000002,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,1.811248591843158,0.5521053291654364,13.226705062528573,209.9164861519969,,6.036382073006256,4.965399574740195,
40.791235,10.210459999999998,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,1.8227134084882055,0.5486326020004537,13.619455024326186,220.55371384704247,,7.2501330884670105,5.974787654985326,
51.016593,10.225358,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,1.846802845552483,0.5414763153566853,11.349200359013205,222.27173152941626,,6.0431161400442495,5.32745405258434,
61.250575000000005,10.233982000000005,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,1.9570640886079314,0.5109694699427573,9.602964322206446,215.89219704617508,,6.29427687047518,5.514138265508876,
71.476438,10.225862999999997,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,1.8238081062734204,0.5483032982254344,11.132442156876504,217.3079153281415,,6.0456156083176795,5.75384235823698,
81.708599,10.232161000000005,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,1.8627758641894614,0.5368332386221485,12.676351580792403,215.98258355307584,,5.462557655818645,5.408798415223997,
91.950329,10.24172999999999,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,1.7699253446365872,0.5649955818929338,12.331252238968743,216.7716780287824,,6.662293115911813,4.206982172322176,
102.171941,10.221612000000007,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,1.9276781143979524,0.5187588075679935,13.346030990218836,232.0302362954586,,6.740471797313652,5.657202944269191,
112.39716399999999,10.225222999999986,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,3.6924555980398464,0.27082258901672335,24.45263153153008,395.62472487482586,,10.68338324994176,18.908028988016387,
122.630642,10.233478000000005,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,1.580010358679533,0.6329072429852505,12.294686161467874,205.9557559841137,,5.998935792966613,5.108864948995249,
132.867219,10.236577000000011,blackscholes,parsec,parsec_blackscholes_t1_r1_20260413T231124Z,1,0,,1.7603345743347845,0.5680738278846177,12.18496354625345,184.4459075620345,,5.247574313524768,5.420227915639389,
