indicator,vif
norm__instructions_retired_per_ms,13.568205726763756
norm__cycles_per_ms,11.894777288401219
norm__llc_references_per_ki,9.154453745392432
norm__offcore_demand_data_reads_per_ki,7.497332163571372
norm__resource_stalls_per_ki,3.316482376087713
norm__branch_mispredictions_per_ki,3.006179193119163
norm__llc_misses_per_ki,2.978095489902666
norm__l1d_loads_per_ki,2.8574279588002933
norm__l1d_stores_per_ki,1.8687506200536137
norm__branch_instructions_per_ki,1.7472086734363452
