indicator,vif
metric__cpi,5.490445988133235
metric__ipc,3.6105551361488772
metric__branch_mpki,3.3144829064301335
metric__llc_mpki,2.8757711477424888
metric__offcore_read_mpki,2.3678556619192372
metric__branch_per_ki,1.568370487950019
