timestamp_ms,value,unit,event_name,event_name_normalized,runtime_ns,enabled_pct,metric_value,metric_unit,status
10.092272,0.0,,instructions:u,instructions,174415.0,4.0,0.0,insn per cycle,ok
10.092272,1750114.0,,cycles:u,cycles,882848.0,23.0,nan,,ok
10.092272,122371.0,,branches:u,branches,3138625.0,82.0,nan,,ok
10.092272,11880.0,,branch-misses:u,branch-misses,3799313.0,100.0,9.71,of all branches,ok
10.092272,382015.0,,L1-dcache-loads:u,l1-dcache-loads,3805796.0,100.0,nan,,ok
10.092272,40325.0,,cache-references:u,cache-references,3638505.0,95.0,nan,,ok
10.092272,5469.0,,cache-misses:u,cache-misses,2936976.0,76.0,13.56,of all cache refs,ok
10.092272,nan,,stalled-cycles-frontend:u,stalled-cycles-frontend,0.0,0.0,nan,,ok
20.619755,30839365.0,,instructions:u,instructions,2998563.0,30.0,1.52,insn per cycle,ok
20.619755,nan,,,,nan,nan,0.07,stalled cycles per insn,unknown
20.619755,20245498.0,,cycles:u,cycles,3000723.0,30.0,nan,,ok
20.619755,6462472.0,,branches:u,branches,4005714.0,40.0,nan,,ok
20.619755,91486.0,,branch-misses:u,branch-misses,5338243.0,54.0,1.42,of all branches,ok
20.619755,5654663.0,,L1-dcache-loads:u,l1-dcache-loads,6300169.0,63.0,nan,,ok
20.619755,197212.0,,cache-references:u,cache-references,6845114.0,69.0,nan,,ok
20.619755,10658.0,,cache-misses:u,cache-misses,6836050.0,69.0,5.4,of all cache refs,ok
20.619755,2015486.0,,stalled-cycles-frontend:u,stalled-cycles-frontend,2001050.0,20.0,9.96,frontend cycles idle,ok
31.071347,1231026.0,,instructions:u,instructions,1553201.0,19.0,0.82,insn per cycle,ok
31.071347,nan,,,,nan,nan,1.23,stalled cycles per insn,unknown
31.071347,1492958.0,,cycles:u,cycles,383538.0,4.0,nan,,ok
31.071347,70408.0,,branches:u,branches,383538.0,4.0,nan,,ok
31.071347,59399.0,,branch-misses:u,branch-misses,2802578.0,34.0,84.36,of all branches,ok
31.071347,1731113.0,,L1-dcache-loads:u,l1-dcache-loads,4805888.0,61.0,nan,,ok
31.071347,127175.0,,cache-references:u,cache-references,6619941.0,97.0,nan,,ok
31.071347,15216.0,,cache-misses:u,cache-misses,7796989.0,100.0,11.96,of all cache refs,ok
31.071347,1515811.0,,stalled-cycles-frontend:u,stalled-cycles-frontend,1553201.0,18.0,101.53,frontend cycles idle,ok
41.572027999999996,1893851.0,,instructions:u,instructions,4294341.0,44.0,0.46,insn per cycle,ok
41.572027999999996,nan,,,,nan,nan,0.99,stalled cycles per insn,unknown
41.572027999999996,4131738.0,,cycles:u,cycles,1506113.0,16.0,nan,,ok
41.572027999999996,259247.0,,branches:u,branches,1512321.0,26.0,nan,,ok
41.572027999999996,30828.0,,branch-misses:u,branch-misses,1914385.0,30.0,11.89,of all branches,ok
41.572027999999996,876378.0,,L1-dcache-loads:u,l1-dcache-loads,2077074.0,31.0,nan,,ok
41.572027999999996,119177.0,,cache-references:u,cache-references,5353844.0,73.0,nan,,ok
41.572027999999996,16335.0,,cache-misses:u,cache-misses,8142433.0,89.0,13.71,of all cache refs,ok
41.572027999999996,1877758.0,,stalled-cycles-frontend:u,stalled-cycles-frontend,4158830.0,42.0,45.45,frontend cycles idle,ok
52.043934,1627001.0,,instructions:u,instructions,7053155.0,76.0,0.44,insn per cycle,ok
52.043934,nan,,,,nan,nan,0.8,stalled cycles per insn,unknown
52.043934,3719604.0,,cycles:u,cycles,5193150.0,52.0,nan,,ok
52.043934,372015.0,,branches:u,branches,5186942.0,52.0,nan,,ok
52.043934,28300.0,,branch-misses:u,branch-misses,5180313.0,52.0,7.61,of all branches,ok
52.043934,836359.0,,L1-dcache-loads:u,l1-dcache-loads,3576553.0,36.0,nan,,ok
52.043934,247375.0,,cache-references:u,cache-references,2882738.0,29.0,nan,,ok
52.043934,21461.0,,cache-misses:u,cache-misses,4761282.0,51.0,8.68,of all cache refs,ok
52.043934,1299908.0,,stalled-cycles-frontend:u,stalled-cycles-frontend,4225772.0,66.0,34.95,frontend cycles idle,ok
62.520003,2033361.0,,instructions:u,instructions,6281351.0,81.0,0.5,insn per cycle,ok
62.520003,nan,,,,nan,nan,0.62,stalled cycles per insn,unknown
62.520003,4088063.0,,cycles:u,cycles,8055532.0,89.0,nan,,ok
62.520003,415851.0,,branches:u,branches,8103958.0,90.0,nan,,ok
62.520003,28529.0,,branch-misses:u,branch-misses,8103958.0,90.0,6.86,of all branches,ok
62.520003,906587.0,,L1-dcache-loads:u,l1-dcache-loads,6084959.0,67.0,nan,,ok
62.520003,123092.0,,cache-references:u,cache-references,2724445.0,30.0,nan,,ok
62.520003,26524.0,,cache-misses:u,cache-misses,923979.0,12.0,21.55,of all cache refs,ok
62.520003,1269273.0,,stalled-cycles-frontend:u,stalled-cycles-frontend,2527094.0,51.0,31.05,frontend cycles idle,ok
72.971411,0.0,,instructions:u,instructions,30595.0,9.0,0.0,insn per cycle,ok
72.971411,1918957.0,,cycles:u,cycles,2179173.0,100.0,nan,,ok
72.971411,323065.0,,branches:u,branches,4958768.0,100.0,nan,,ok
72.971411,30477.0,,branch-misses:u,branch-misses,7544435.0,100.0,9.43,of all branches,ok
72.971411,1134332.0,,L1-dcache-loads:u,l1-dcache-loads,9501711.0,100.0,nan,,ok
72.971411,154490.0,,cache-references:u,cache-references,9673613.0,99.0,nan,,ok
72.971411,15871.0,,cache-misses:u,cache-misses,7498243.0,77.0,10.27,of all cache refs,ok
72.971411,nan,,stalled-cycles-frontend:u,stalled-cycles-frontend,0.0,0.0,nan,,ok
