1.000000000000000000e+00,7.240352316881621952e-01,8.360546550013476796e-01,6.678538914152422068e-01,8.435466994084931391e-01,8.163946502443759634e-01,6.434469891973978450e-01,3.163409571783747931e-01,6.409818946310521515e-01,5.554929306684051049e-01
7.240352316881621952e-01,1.000000000000000000e+00,7.315255866579306598e-01,6.133959724037745254e-01,7.388311496065043116e-01,7.142907799235308497e-01,6.293132809147322648e-01,4.890045365098379948e-01,6.464920143148008558e-01,6.983683246476166673e-01
8.360546550013476796e-01,7.315255866579306598e-01,1.000000000000000000e+00,6.757122029047855083e-01,8.295861080914123109e-01,7.991590280723142037e-01,6.568813387664145242e-01,3.242771023275800024e-01,6.507834076599338102e-01,5.302528071857944836e-01
6.678538914152422068e-01,6.133959724037745254e-01,6.757122029047855083e-01,1.000000000000000000e+00,6.752291131181723527e-01,6.575183542932940828e-01,7.587896538630771737e-01,3.242556699228684725e-01,7.303514600437562843e-01,3.941326245096181125e-01
8.435466994084931391e-01,7.388311496065043116e-01,8.295861080914123109e-01,6.752291131181723527e-01,1.000000000000000000e+00,8.293406850379779760e-01,6.701413826117720296e-01,3.232916131517307723e-01,6.665835649928221196e-01,5.564723346115661995e-01
8.163946502443759634e-01,7.142907799235308497e-01,7.991590280723142037e-01,6.575183542932940828e-01,8.293406850379779760e-01,1.000000000000000000e+00,6.334474228704584098e-01,3.117151313805457402e-01,6.337655195663902674e-01,5.400148128388736479e-01
6.434469891973978450e-01,6.293132809147322648e-01,6.568813387664145242e-01,7.587896538630771737e-01,6.701413826117720296e-01,6.334474228704584098e-01,1.000000000000000000e+00,3.920056231627445098e-01,8.416012715818942391e-01,4.307458502375653975e-01
3.163409571783747931e-01,4.890045365098379948e-01,3.242771023275800024e-01,3.242556699228684725e-01,3.232916131517307723e-01,3.117151313805457402e-01,3.920056231627445098e-01,1.000000000000000000e+00,4.157135086131812929e-01,6.223339316836548063e-01
6.409818946310521515e-01,6.464920143148008558e-01,6.507834076599338102e-01,7.303514600437562843e-01,6.665835649928221196e-01,6.337655195663902674e-01,8.416012715818942391e-01,4.157135086131812929e-01,1.000000000000000000e+00,4.622719540339610966e-01
5.554929306684051049e-01,6.983683246476166673e-01,5.302528071857944836e-01,3.941326245096181125e-01,5.564723346115661995e-01,5.400148128388736479e-01,4.307458502375653975e-01,6.223339316836548063e-01,4.622719540339610966e-01,1.000000000000000000e+00
