1.000000000000000000e+00,8.883895092920118808e-01,9.450459234116131979e-01,7.815602535353791680e-01,9.538902528040267281e-01,9.375960144822682585e-01,7.423966738773518648e-01,4.331281704222601503e-01,7.420023956025725287e-01,7.372016764028589408e-01
8.883895092920118808e-01,1.000000000000000000e+00,8.926626289614134624e-01,7.622061030157477601e-01,9.006215832912400909e-01,8.789736876426638146e-01,7.613786827248548716e-01,6.408456965288968910e-01,7.713520055048135315e-01,8.643538927493514823e-01
9.450459234116131979e-01,8.926626289614134624e-01,1.000000000000000000e+00,8.015526650642795792e-01,9.450242644803779068e-01,9.270961712433249957e-01,7.704898848470194128e-01,4.477808194681359155e-01,7.684873446322993962e-01,7.134791228225354498e-01
7.815602535353792790e-01,7.622061030157477601e-01,8.015526650642796902e-01,9.999999999999997780e-01,7.774085829851602458e-01,7.670952869547238429e-01,8.878765550536616979e-01,4.426366606558228001e-01,8.681699402648748176e-01,5.340124393471995523e-01
9.538902528040268392e-01,9.006215832912399799e-01,9.450242644803780179e-01,7.774085829851602458e-01,1.000000000000000000e+00,9.371957489193846191e-01,7.537993746230098324e-01,4.385230122521987517e-01,7.558121150512741027e-01,7.386903645521291084e-01
9.375960144822681475e-01,8.789736876426638146e-01,9.270961712433249957e-01,7.670952869547237318e-01,9.371957489193847302e-01,1.000000000000000000e+00,7.293970722047165012e-01,4.249366018233933229e-01,7.319859733073346142e-01,7.206718694417861837e-01
7.423966738773519758e-01,7.613786827248548716e-01,7.704898848470195238e-01,8.878765550536616979e-01,7.537993746230098324e-01,7.293970722047165012e-01,1.000000000000000000e+00,5.300887427651577166e-01,9.503834685445664565e-01,5.681205069068615554e-01
4.331281704222601503e-01,6.408456965288967799e-01,4.477808194681359155e-01,4.426366606558228001e-01,4.385230122521987517e-01,4.249366018233933229e-01,5.300887427651577166e-01,1.000000000000000000e+00,5.589235764405896534e-01,7.732574549072036563e-01
7.420023956025725287e-01,7.713520055048135315e-01,7.684873446322993962e-01,8.681699402648748176e-01,7.558121150512742137e-01,7.319859733073347252e-01,9.503834685445664565e-01,5.589235764405895424e-01,1.000000000000000000e+00,5.993675758649082974e-01
7.372016764028589408e-01,8.643538927493514823e-01,7.134791228225353388e-01,5.340124393471995523e-01,7.386903645521291084e-01,7.206718694417861837e-01,5.681205069068615554e-01,7.732574549072036563e-01,5.993675758649081864e-01,1.000000000000000000e+00
