indicator,vif
counter__llc_references,111.62745986754972
counter__offcore_demand_data_reads,91.97073445525547
counter__instructions_retired,89.98906538950462
counter__l1d_loads,84.21123785395717
counter__l1d_stores,69.66786733951731
counter__cycles,50.17580097998974
counter__branch_instructions,40.81701044478484
counter__branch_mispredictions,21.039492073138018
counter__resource_stalls,20.613869269878325
counter__llc_misses,4.5156522440683595
