9.999999999999997780e-01,9.105011139890506477e-01,9.342273771565469120e-01,7.459953602791179472e-01,9.795503084957448703e-01,9.793089851783890465e-01,6.963632251447162691e-01,4.474664463806789505e-01,6.979743113085364881e-01,8.975899125000813550e-01
9.105011139890507588e-01,9.999999999999998890e-01,9.640228898319707085e-01,9.041799120995254180e-01,8.555104033293764454e-01,8.827604527203473106e-01,8.837624516825508536e-01,6.677068248195879852e-01,8.809586493848395872e-01,8.729637611726172031e-01
9.342273771565469120e-01,9.640228898319707085e-01,1.000000000000000000e+00,8.871757080416841079e-01,8.689913892082234970e-01,8.908160140197957100e-01,8.361059332531732835e-01,5.552559408687038900e-01,8.378077821470680808e-01,8.189167058142995392e-01
7.459953602791179472e-01,9.041799120995254180e-01,8.871757080416841079e-01,9.999999999999998890e-01,6.676689115056250179e-01,7.139483659705976315e-01,9.592527662969112523e-01,6.040070213835678770e-01,9.556253207916268755e-01,6.661451600499457282e-01
9.795503084957448703e-01,8.555104033293763344e-01,8.689913892082234970e-01,6.676689115056250179e-01,9.999999999999998890e-01,9.872995645690193500e-01,6.176041291144498402e-01,3.897843499588766192e-01,6.192668428275007741e-01,9.061687867680062736e-01
9.793089851783889355e-01,8.827604527203473106e-01,8.908160140197957100e-01,7.139483659705975205e-01,9.872995645690193500e-01,1.000000000000000000e+00,6.772191686618568296e-01,4.286391644526980071e-01,6.767513019643578431e-01,9.178746445071429561e-01
6.963632251447162691e-01,8.837624516825508536e-01,8.361059332531731725e-01,9.592527662969113633e-01,6.176041291144498402e-01,6.772191686618569406e-01,1.000000000000000000e+00,6.335220260651740487e-01,9.934671544058421011e-01,6.565102479928267565e-01
4.474664463806788950e-01,6.677068248195879852e-01,5.552559408687038900e-01,6.040070213835678770e-01,3.897843499588766192e-01,4.286391644526980627e-01,6.335220260651740487e-01,1.000000000000000000e+00,6.411563695592061851e-01,6.430044074505070206e-01
6.979743113085364881e-01,8.809586493848395872e-01,8.378077821470680808e-01,9.556253207916268755e-01,6.192668428275007741e-01,6.767513019643578431e-01,9.934671544058421011e-01,6.411563695592061851e-01,9.999999999999998890e-01,6.654598969574577749e-01
8.975899125000813550e-01,8.729637611726172031e-01,8.189167058142994282e-01,6.661451600499456172e-01,9.061687867680063846e-01,9.178746445071429561e-01,6.565102479928267565e-01,6.430044074505070206e-01,6.654598969574578859e-01,1.000000000000000000e+00
